event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CYP1462,"24 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Ukrainian Group (Cyprus); Russian Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,"Cyprus Mail; SigmaLive",National,"On 24 February 2023, Ukrainians and Russians opposing the invasion of Ukraine marked the one year anniversary of Russia's invasion of Ukraine holding an anti-war protest-rally outside the Russian consulate in Limassol before marching to Limassol pier. They were holding banners and placards, and a variant flag of Russia without the red color, and they shouted slogans for the withdrawal of Russian troops.",0,"crowd size=no report",1677600257
CYP1463,"24 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Ukrainian Group (Cyprus); Russian Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail; SigmaLive",National,"On 24 February 2023, Ukrainians and Russians opposing the invasion of Ukraine marked the one year anniversary of Russia's invasion of Ukraine holding an anti-war protest-rally outside the Russian embassy in Nicosia before marching. They were holding banners and placards, and a variant flag of Russia without the red color, and they shouted slogans for the withdrawal of Russian troops.",0,"crowd size=no report",1677600257
CYP1459,"22 February 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (International)","Refugees/IDPs (International)",5,"Rioters (International)","Refugees/IDPs (International); Police Forces of Cyprus (2023-)",5,55,,196,Europe,Cyprus,Nicosia,,,Kokkinotrimithia,35.1542,33.1986,1,"Philenews; SigmaLive",National,"On 22 February 2023, about 150 migrants clashed in the overcrowded Pournara refugee reception center in Kokkinotrimithia. The clashes were over following police intervention. 2 migrants and 1 police officer were injured.",0,"crowd size=about 150",1677600257
CYP1460,"22 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail; Philenews",National,"On 22 February 2023, at least 60 Pafos quarry workers blocked traffic with almost 60 trucks around the Presidential Palace in Nicosia demanding the expansion of the Androlikou quarry and the delay of the plans for the Akamas natural park.",0,"crowd size=at least 60",1677600257
CYP1461,"22 February 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Cyprus)",,5,"Civilians (Cyprus)","Students (Cyprus); LGBTQ+ (Cyprus)",7,57,"Civilian targeting",196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,"Cyprus Mail; Philenews",National,"On 22 February 2023, about 10 individuals, likely far-right, wearing masks and hoodies entered a lecture hall in the Cyprus University of Technology TEPAK (CUT) Student Development center in Limassol shouting homophobic slurs during a student union event organized by LGBT group ACCEPT and started destroying property. 1 of the rioters set off a fire extinguisher. There were 5 arrests in the following days.",0,"crowd size=about 10",1677600257
CYP1464,"20 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); PEO: Pancyprian Federation of Labour; SEK: Cyprus Workers Confederation",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,Haravgi,National,"On 20 February 2023, employees in the hospitality industry, supported by SEK and PEO, walked of their jobs and rallied in Pafos carrying placards. The protesters demanded the restoration of ATA (CoLA: Cost of Living Allowance) and the re-introduction of collective labor agreements. On 23 February, following a long strike and the Labour ministry acting as an intermediary in negotiations, the protesters' demands were met.",0,"crowd size=no report",1678206750
CYP1458,"05 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Cyprus)",,3,"Civilians (Cyprus)","Farmers (Cyprus); Greek Ethnic Group (Cyprus)",7,37,"Civilian targeting",196,Europe,Cyprus,Nicosia,,,Potamia,35.0423,33.4455,2,"Detay; Philenews",National,"On 5 February 2023, 3 Greek Cypriot farmers riding their vehicle in the buffer zone (coded to Potamia) were shot at with an automatic rifle. One of them was injured in the shoulder and underwent surgery for a non-life threatening wound. The Greek Cypriots reported that Turkish soldiers on a military vehicle shot at them, but the United Nations could not verify the allegations. Police launched an investigation. The Turkish Cypriot administration denied that Turkish soldiers shot at the Greek Cypriots.",0,,1676403728
CYP1457,"05 February 2023",2023,1,"Strategic developments","Strategic developments",Other,"Government of Cyprus (2013-2023)",,1,,,0,10,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,3,"AP; Ekathimerini; Philenews",National-International,"Elections/referendum: On 5 February 2023, Greek Cypriots held the first round of Presidential elections (coded to Nicosia). 2 candidates, Nikos Christodoulides, a center-right former foreign minister, and Andreas Mavroyiannis, supported by the communist-rooted party AKEL, reached the second round that would be held the following Sunday. Peace efforts with the Turkish Cypriots, migration, the economy and allegations of corruption in the current government were the main issues. The candidate of ruling party DISY came third and the candidate of far-right ELAM came fourth. Nikos Christodoulides was elected as the new President of Cyprus, inheriting the challenge of reviving stalemated reunification talks with the breakaway Turkish-Cypriots.",0,,1677001537
CYP1452,"03 February 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Cyprus)",,3,"Civilians (Cyprus)","Government of Cyprus (2013-2023)",7,37,,196,Europe,Cyprus,Limassol,,,Pyrgos,34.7382,33.1835,1,Philenews,National,"Property destruction: On 3 February 2023, early in the morning, unidentified assailants torched, using flammable liquid, a vehicle belonging to the town council of Pyrgos in Limassol district. The vehicle, which was burned to the ground, was parked outside town hall.",0,,1677016121
CYP1453,"01 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTAMS: Cyprus Turkish Civil Servants Trade Union; Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Lefke,35.1129,32.8494,1,Detay,National,"On 1 February 2023, members of KTAMS participated in a one-hour protest-strike outside the European University of Lefke, where they lit fires and held a press release. The motive for the protest was not included in the report.",0,"crowd size=no report",1675798462
