event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MLI8281,"01 March 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Islamic State (Sahel)",,2,"Civilians (Mali)",,7,27,,466,"Western Africa",Mali,Gao,Gao,Gabero,Fiyata,16.1739,0.2105,2,Twitter,"New media","Looting: On 1 March 2023, presumed IS Sahel militants seized several hundred heads of livestock belonging to populations in the communes of Anchawadi and Soni Ali Ber the area of Fiyata (Gabero, Gao).",0,,1678117764
MLI8287,"01 March 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,,466,"Western Africa",Mali,Mopti,Koro,Barapireli,Barapireli,14.3089,-3.0552,1,"Studio Tamani",Subnational,"Property destruction: On 1 March 2023, presumed JNIM militants destroyed a telecommunications antenna and hauled down and removed a flag at a school in the village of Barapireli (Koro, Mopti).",0,,1678117764
MLI8300,"01 March 2023",2023,1,"Political violence","Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)","Women (Mali)",7,27,"Civilian targeting",466,"Western Africa",Mali,Gao,Ansongo,Ouattagouna,"Fafa Gourma",15.3407,0.7181,1,Twitter,"New media","On 1 March 2023, IS Sahel militants whipped and wounded several women including one severely for bathing in the Niger River in the village of Fafa Gourma (Ansongo, Gao).",0,,1678117764
MLI8323,"01 March 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Military Forces of Mali (2021-)",,1,12,,466,"Western Africa",Mali,Tombouctou,Tombouctou,Alafia,Acharane,16.6314,-3.3256,1,"FAMAMali; Mali Actu; Studio Tamani; Twitter; Undisclosed Source; Whatsapp","Local partner-Other","On 1 March 2023, presumed JNIM militants fired mortar shells at the FAMa camp in the village of Acharane (Tombouctou, Tombouctou). Two soldiers were killed and five wounded including three severely.",2,,1678117764
MLI8322,"01 March 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Islamic State (Sahel)",,2,22,,466,"Western Africa",Mali,Menaka,Tidermene,Tidermene,"Agare MBaou",16.2071,2.1911,2,"Al Naba; Al Zallaqa; Amaq; BBC News; Menastream; Telegram; Twitter; Undisclosed Source","Local partner-Other","On 1 March 2023, JNIM and IS Sahel militants clashed in the area of Agare Mbaou (Tidermene, Menaka). JNIM claimed responsibility and claimed it killed approximately 60 IS Sahel militants. IS claimed 30 JNIM militants were killed, dozens wounded, one imprisoned and 11 vehicles seized. It aknowledged the death of 8 members. None of the casualty tolls could be independently confirmed. Unknown fatalities coded as 10.",10,,1679345740
MLI8280,"28 February 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Islamic State (Sahel)",,2,"Civilians (Mali)",,7,27,,466,"Western Africa",Mali,Menaka,Menaka,Menaka,Chagham,16.1212,1.9915,2,"Undisclosed Source","Local partner-Other","Looting: On 28 February 2023, IS Sahel militants seized livestock near Chagham (Menaka, Menaka).",0,,1678117764
MLI8285,"28 February 2023",2023,1,"Strategic developments","Strategic developments",Other,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Refugees/IDPs (Mali)",7,27,,466,"Western Africa",Mali,Segou,Niono,Sokolo,Famabougou,14.7839,-6.2299,1,"Studio Tamani; Twitter","New media-National","Displacement: On 28 February 2023, residents left the village of Famabougou (Niono, Segou), after JNIM militants ordered them to leave.",0,,1678117764
MLI8286,"28 February 2023",2023,1,"Strategic developments","Strategic developments",Other,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Refugees/IDPs (Mali)",7,27,,466,"Western Africa",Mali,Segou,Niono,Sokolo,Seguendara,14.8081,-6.1907,1,"Studio Tamani; Twitter","New media-National","Displacement: On 28 February 2023, residents left the village of Seguendara (Niono, Segou), after JNIM militants ordered them to leave.",0,,1678117764
MLI8302,"28 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)",,7,27,"Civilian targeting",466,"Western Africa",Mali,Gao,Ansongo,Ouattagouna,"Fafa Gourma",15.3407,0.7181,1,Twitter,"New media","On 28 February 2023, IS Sahel militants whipped two young men for attending a marriage celebration in the village of Fafa Gourma (Ouattagouna, Ansongo, Gao).",0,,1678117764
MLI8307,"28 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)","Health Workers (Mali)",6,,,0,60,,466,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,"Studio Tamani",National,"On 28 February 2023, a number of part-time doctors staged a sit-in protest at the Peace Monument in the capital Bamako (Bamako, Bamako). The demonstrators denounced irregularities in the recruitment process of part-time doctors.",0,"crowd size=no report",1678117764
MLI8310,"28 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)",,6,,,0,60,,466,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,"Undisclosed Source","Local partner-Other","On 28 February 2023, a large number of people demonstrated against the new territorial division in the city of Gao (Gao, Gao).",0,"crowd size=a large number",1678117764
MLI8316,"28 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)","Prisoners (Mali)",7,17,"Civilian targeting",466,"Western Africa",Mali,Segou,Niono,Pogo,Pogo,13.5531,-5.9517,2,"Undisclosed Source","Local partner-Other","On 28 February 2023, FAMa and Wagner forces arrested and killed two people and dumped from a helicopter in the area of Pogo (Niono, Segou).",2,,1678117764
MLI8327,"28 February 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Government of Mali (2021-)",7,37,,466,"Western Africa",Mali,Kayes,Diema,"Diangounte Camara",Madina,14.5604,-9.3485,2,"Undisclosed Source","Local partner-Other","Looting: On 28 February 2023, an unidentified armed group seized a vehicle belonging to an official of the public administration near Madina on the road between Diema and Diangounte Camara (Kayes).",0,,1678117764
MLI8321,"28 February 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Islamic State (Sahel)",,2,22,,466,"Western Africa",Mali,Menaka,Menaka,Menaka,"Tin Fadimata",16.1029,2.2196,2,"aBamako; Al Zallaqa; Menastream; Telegram; Twitter; Undisclosed Source","Local partner-Other","On 28 February 2023, JNIM and IS Sahel militants clashed in the area of Tin Fadimata (Menaka, Menaka). JNIM captured two IS Sahel militants and killed several others. JNIM claimed responsibility and said it killed two IS Sahel militants.",2,,1678726478
MLI8282,"27 February 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Islamic State (Sahel)",,2,"Civilians (Mali)","Labor Group (Mali)",7,27,,466,"Western Africa",Mali,Gao,Gao,N'tillit,Amasrakad,16.2106,-0.4363,2,"Undisclosed Source","Local partner-Other","Looting: On 27 February 2023, IS Sahel militants seized a pickup truck transporting goods on the road between Amasrakad and Gao (Gao, Gao).",0,,1678117764
MLI8296,"27 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)","Dawsahak Ethnic Group (Mali)",7,27,"Civilian targeting",466,"Western Africa",Mali,Menaka,Menaka,Menaka,Intiklatene,15.9426,2.887,1,"Communaute Idaksahak - Facebook; Kibaru; Twitter; UN MINUSMA","Other-New media","On 27 February 2023, IS Sahel militants attacked a camp in Intiklatene (Menaka, Menaka. The militants killed nine people from the Dawsahak community, abducted one person, and seized hundreds heads of livestock. The abducted subsequently escaped.",9,,1678117764
MLI8298,"27 February 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Mali)",,5,,,0,50,,466,"Western Africa",Mali,Sikasso,Yorosso,Mahou,Mahou,12.1324,-4.6288,1,"Studio Tamani; Undisclosed Source","Local partner-Other","On 27 February 2023, a number of people demonstrated and barricaded roads in the village of Mahou (Yorosso, Sikasso). The demonstrators denounced the new territorial division since they want their village to be attached to Koury Cercle instead of Yorosso.",0,"crowd size=no report",1678117764
MLI8301,"27 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)","Women (Mali)",7,27,"Civilian targeting",466,"Western Africa",Mali,Gao,Ansongo,Bourra,Kounga,15.5298,0.5899,1,"Studio Tamani",National,"On 27 February 2023, presumed IS Sahel militants killed two women including one pregnant in the village of Kounga (Ansongo, Gao).",2,,1678117764
MLI8303,"27 February 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Mali)",,5,,,0,50,,466,"Western Africa",Mali,Menaka,Menaka,Menaka,Menaka,15.9182,2.4022,1,"Mali Jet; Undisclosed Source","Local partner-Other","On 27 February 2023, a large number residents including community leaders from Tidarmene demonstrated against the new territorial division and barricaded roads and burned tires in the town of Menaka (Menaka, Menaka).",0,"crowd size=a large number",1678117764
MLI8309,"27 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)",,6,,,0,60,,466,"Western Africa",Mali,Gao,Gao,Gabero,Haoussa-Foulane,15.995,0.1318,1,"Undisclosed Source","Local partner-Other","On 27 February 2023, a number of people demonstrated in the village of Haoussa-Foulane (Gao, Gao). The demonstrators demanded that Haoussa-Foulane is transformed into a cercle as part of new administrative division.",0,"crowd size=no report",1678117764
MLI8315,"27 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)","Fulani Ethnic Group (Mali); Pastoralists (Mali); Tuareg Ethnic Group (Mali); Bambara Ethnic Group (Mali)",7,17,"Civilian targeting",466,"Western Africa",Mali,Segou,Macina,Monimpebougou,Tougou,14.455,-5.6115,1,"Undisclosed Source; Whatsapp","Local partner-Other","On 27 February 2023, FAMa and Wagner forces carried out a helicopter raid in the village of Tougou (Macina, Segou). One person was killed and fourteen people arrested including twelve Fulani, one Tuareg, and one Bambara.",1,,1678117764
MLI8324,"27 February 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Military Forces of Mali (2021-)",,1,12,,466,"Western Africa",Mali,Segou,Segou,Markala,Sarakala,13.6904,-6.0994,1,"Al Zallaqa; Twitter; Undisclosed Source; Whatsapp","Local partner-Other","On 27 February 2023, JNIM militants attacked a FAMa checkpoint in Sarakala (Segou, Segou). Two soldiers were killed and five wounded including two severely, and the checkpoint destroyed. JNIM claimed responsibility and displayed weapons, ammunition, and equipment said captured.",2,,1678117764
MLI8290,"26 February 2023",2023,1,"Strategic developments","Strategic developments",Other,"JNIM: Group for Support of Islam and Muslims",,2,,,0,20,,466,"Western Africa",Mali,Sikasso,Yorosso,Koury,Tandio,12.1623,-4.9589,2,Whatsapp,"New media","Non-violent activity: On 26 February 2023, presumed JNIM militants ran an irregular checkpoint near Tandio (Yorosso, Sikasso).",0,,1678117764
MLI8305,"26 February 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Mali (2021-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,,466,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Docoumbo,14.3549,-3.6561,2,"Facebook; Undisclosed Source","Local partner-Other","Defusal: On 26 February 2023, Dan Na Ambassagou militiamen discovered an IED likely planted by JNIM militants on the road between Docoumbo and Bandiagara (Bandiagara, Mopti), about 3km from Bandiagara town. The militiamen alerted FAMa who arrived at the scene and dismantled the device.",0,,1678117764
MLI8278,"25 February 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Civilian targeting",466,"Western Africa",Mali,Mopti,Mopti,Socoura,Sakarel,14.5662,-4.1059,1,"Undisclosed Source","Local partner-Other","On 25 February 2023, JNIM militants abducted two persons in the village of Sakarel (Mopti, Mopti).",0,,1678117764
